id,title,author,genre,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machine"
1,Abdir,Sauvigny (Edme-Louis Billardon de),drame,,4,vers,
2,Abdolonyme ou le roi berger,Collet (Jean-Baptiste Collet de Messine dit),comédie héroïque,,3,vers,
3,Absalon,Duché de Vancy (Joseph François),tragédie,,5,vers,
4,Adélaïde de Hongrie,Dorat (Claude-Joseph),tragédie,,5,vers,
5,Adélaïde du Guesclin,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
6,Adélaïde ou l'Antipathie pour l'amour ,Dudoyer de Gastels (Gérard),comédie,,2,vers décasyllabes,
7,Adèle de Crécy,Dercy (G. Palat dit),drame ,,4,vers,
8,Adèle de Ponthieu,La Place (Pierre-Antoine de),tragédie,,5,vers,
9,Agathocle,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
10,Agis,Laignelot (Joseph-François),tragédie,,5,vers,
11,"Agrippa, roi d'Albe ou le Faux Tiberinus",Quinault (Philippe),tragi-comédie,,5,vers,
12,Ajax,Poissinet de Sivry (Louis),tragédie,,5,vers,
13,Albert et Émilie,Dubuisson (Paul-Ulric),tragédie,,5,vers,
14,Albert Ier ou Adeline,Leblanc de Guillet (Antoine Blanc dit),comédie héroïque,,3,vers,
15,Alcidonis ou la journée Lacédémonienne,Lonvay de la Saussaye (J.B.); Baudron (Antoine-Laurent),comédie,,3,prose,x
16,Alphée et Zarine,Fallet (Nicolas),tragédie,,5,vers,
17,Alzaïde,Linant (Michel),tragédie,,5,vers,
18,Alzire ou les Américains,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
19,Amalasonte,"Ximénès (Augustin-Louis, marquis de)",tragédie,,5,vers,
20,Amasis,La Grange-Chancelle (Joseph de),tragédie,,5,vers,
21,Amélie ou le Duc de Foix (dite Le Duc de Foix),Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
22,Amélise,Ducis (Jean-François),tragédie,,5,vers,
23,Aménophis,Saurin (Bernard-Joseph),tragédie,,5,vers,
24,Amestris,Mauger,tragédie,,5,vers,
25,Amour pour amour,La Chaussée (Pierre-Claude Nivelle de),comédie,x,3,vers,
26,Amphitryon,Molière (Jean-Baptiste Poquelin dit) ,comédie,x,3,vers libres,
27,Andromaque,Racine (Jean),tragédie,,5,vers,
28,Andronic,Campistron (Jean-Galbert de) ,tragédie,,5,vers,
29,Annibal,Marivaux (Pierre Carlet de Chamblain de),tragédie,,5,vers,
30,Antigone ou la Piété fraternelle,Doigny du Ponceau,tragédie,,5,vers,
31,Antipater,Portelance (François de),tragédie,,5,vers,
32,Apelle et Campaspe,Voiron,pièce héroïque ,,1,vers,x
33,Aphos,Baragué,comédie,,1,vers libres,
34,Ariane,Corneille (Thomas),tragédie,,5,vers,
35,Aristomène,Marmontel (Jean-François) ,tragédie,,5,vers,
36,Artaxerce,Lemierre (Antoine-Marin) ,tragédie,,5,vers,
37,Astarbé,Colardeau (Charles-Pierre),tragédie,,5,vers,
38,"Astrate, roi de Tyr",Quinault (Philippe),tragédie,,5,vers,
39,Astyanax,Châteaubrun (Jean-Baptiste Vivien de),tragédie,,5,vers,
40,Astyanax,Richerolle d'Avalon,tragédie,,5,vers,
41,Athalie,Racine (Jean),tragédie,,5,vers,
42,Atoine et Cléopâtre ,Boistel d'Welles (Jean-Baptiste Robert),tragédie,,5,vers,
43,Atrée et Thyeste,Crébillon père (Prosper Jolyot de Crébillon dit),tragédie,,5,vers,
44,Attendez-moi sous l’orme,Regnard (Jean-François),comédie,,1,prose,
45,Augusta,Fabre d'Églantine (Philippe-François Nazaire Fabre dit),tragédie,,5,vers,
46,Auguste et Théodore ou les Deux pages,Manteufel (baron de),comédie,,2,prose,
47,Azémire,Chénier (Marie-Joseph),tragédie ,,5,vers,
48,Bajazet,Racine (Jean),tragédie,,5,vers,
49,"Barnevelt, grand pensionnaire de Hollande",Lemierre (Antoine-Marin) ,tragédie,,5,vers,
50,Bérénice ,Racine (Jean),tragédie,,5,vers,
51,Beverley,Saurin (Bernard-Joseph),tragédie bourgeoise,,5,vers libres,
52,Blanche et Guiscard,Saurin (Bernard-Joseph),tragédie,,5,vers,
53,Briséis ou la colère d'Achille,Poissinet de Sivry (Louis),tragédie,,5,vers,
54,Britannicus,Racine (Jean),tragédie,,5,vers,
55,Brutus,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
56,Caïus Marcius Coriolan ou le danger d'offenser un grand homme,Gudin de La Brenellerie (Paul-Philippe),tragédie,,4,vers,
57,Caliste,Anonyme,tragédie,,5,vers,
58,Caliste,Colardeau (Charles-Pierre),tragédie ,,5,vers,
59,Catilina,Crébillon père (Prosper Jolyot de Crébillon dit),tragédie,,5,vers,
60,Cénie,Graffigny (Mme de),pièce dramatique,,5,prose,
61,Céramis,Lemierre (Antoine-Marin) ,tragédie,,5,vers,
62,Charles IX ou l'École des rois,Chénier (Marie-Joseph),tragédie ,,5,vers,
63,Cinna ou la Clémence dAuguste,Corneille (Pierre),tragédie,,5,vers,
64,Clémentine et Desormes,Monvel (Jacques-Marie Boutet de Monvel dit) ,drame,,5,prose,
65,Cléôpatre,Marmontel (Jean-François) ,tragédie,,5,vers,
66,Colin-Maillard,Dancourt (Florent Carton dit) ,comédie,,1,prose,x
67,Coriolan,La Harpe (Jean-François de),tragédie,,5,vers,
68,Coriolan,Mauger,tragédie,,5,vers,
69,Corneille aux Champs-Élysées,Riouffe (Honoré-Jean),comédie,,1,vers libres,
70,Cosroès,Lefèvre (Pierre-François-Alexandre),tragédie,,5,vers,
71,Cosroès,Mauger,tragédie,,5,vers,
72,Crispin bel esprit,"La Tuillerie (Jean-François Juvenon, sieur de)",comédie,,1,vers,
73,Crispin médecin,Hauteroche (Noël Lebreton de),comédie,,3,vers,
74,Crispin précepteur,La Tuillerie (Jean-François Juvenon),comédie,,1,vers,
75,Crispin précepteur,"La Tuillerie (Jean-François Juvenon, sieur de)",comédie,,1,vers,
76,Crispin rival de son maître,Lesage (Alain-René),comédie,,1,prose,
77,Cromwell,Du Clairon (Antoine Maillet),tragédie,,5,vers,
78,Démocrite,Regnard (Jean-François),comédie,,5,vers,
79,Denys le tyran,Marmontel (Jean-François) ,tragédie,,5,vers,
80,Deucalion et Pyrrha,Saint-Foix (Germain-François Poullain de),comédie,x,1,prose,
81,Didon,Le Franc de Pompignan (Jean-Jacques),tragédie,,5,vers,
82,Dom Juan ou Le Festin de Pierre,Molière (Jean-Baptiste Poquelin dit) ,comédie,,5,prose,
83,Don Japhet d'Arménie,Scarron (Paul),comédie,,5,vers,
84,Don Pasquin d'Avalos,Montfleury (Antoine Jacob),intermède,,,vers,x
85,Don Sanche d'Aragon,Corneille (Pierre),comédie héroïque,,5,vers,
86,Dorval ou le Fou par amour,"Ségur (Joseph-Alexandre-Pierre, vicomte de)",drame historique ,,1,vers,
87,Dupuis et Desronais,Collé (Charles),comédie,,3,vers libres,
88,"Edgard, roi d'Angleterre ou le Page supposé",Chénier (Marie-Joseph),comédie ,,2,vers,
89,Égérie,Saint-Foix (Germain-François Poullain de),comédie,,1,prose,
90,Égyptus,Marmontel (Jean-François) ,tragédie,,5,vers,
91,Électre,Crébillon père (Prosper Jolyot de Crébillon dit),tragédie,,5,vers,
92,Épicharis ou la Mort de Néron,"Ximénès (Augustin-Louis, marquis de)",tragédie,,5,vers,
93,Éponine,Chabanon (Michel Paul Guy de),tragédie,,5,vers,
94,Éricie ou la Vestale,Dubois-Fontanelle (Jean-Gaspard),tragédie,,3,vers,
95,Ésope à la cour,Boursault (Edme ) ,comédie héroïque,x,5,vers,
96,Eugénie,Beaumarchais (Pierre-Augustin Caron de),drame ,,5,prose,
97,Fernand Cortez ou Montézume,Piron (Alexis),tragédie,,5,vers,
98,Florinde,Lefèvre (Pierre-François-Alexandre),tragédie,,5,vers,
99,Gabrielle de Vergy,Belloy (Pierre-Laurent Buirette de),tragédie,,5,vers,
100,Gaston et Bayard,Belloy (Pierre-Laurent Buirette de),tragédie,,5,vers,
101,George Dandin ou le Mari confondu,Molière (Jean-Baptiste Poquelin dit) ,comédie,,3,prose,
102,Guillaume Tell,Lemierre (Antoine-Marin) ,tragédie,,5,vers,
103,Gustave Wasa,Piron (Alexis),tragédie,,5,vers,
104,Hamlet,Ducis (Jean-François),tragédie,,5,vers,
105,Henriette,Raucourt (Françoise-Marie-Antoinette-Josèphe Saucerotte de Raucourt dite Mlle),drame,,3,prose,
106,"Héraclius, empereur d'Orient",Corneille (Pierre),tragédie,,5,vers,
107,Hercule,Renout (Jean-Julien-Constantin),tragédie,,5,vers,
108,Hercule au mont d'Œta ,Lefèvre (Pierre-François-Alexandre),tragédie,,5,vers,
109,Hérode et Mariamne,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
110,Heureusement,Rochon de Chabannes (Marc-Antoine-Jacques),comédie,,1,vers,
111,Hirza,Sauvigny (Edme-Louis Billardon de),tragédie,,5,vers,
112,Horace,Corneille (Pierre),tragédie,,5,vers,
113,Hylas et Sylvie,Rochon de Chabannes (Marc-Antoine-Jacques),pastorale ,,1,prose,
114,Hypermnestre,Lemierre (Antoine-Marin) ,tragédie,,5,vers,
115,Hypermnestre ou Lyncée,Riupeirous (Théodore),tragédie,,5,vers,
116,Idoménée,Lemierre (Antoine-Marin) ,tragédie,,5,vers,
117,Inès de Castro,La Motte (Antoine Houdar de),tragédie,,5,vers,
118,Ino et Mélicerte,La Grange-Chancelle (Joseph de),tragédie,,5,vers,
119,Iphigénie,Racine (Jean),tragédie,,5,vers,
120,Iphigénie en Tauride,La Touche (Claude Guymond de),tragédie,,5,vers,
121,Irène,Voltaire (François-Marie Arouet dit ),tragédie,,5,vers,
122,Irène,Boistel d'Welles (Jean-Baptiste Robert),tragédie,,5,vers,
123,Jean Callas,Laya (Jean-Louis),tragédie,,5,vers,
124,Jean-Jacques Rousseau dans l'île de Saint-Pierre,Genlis (Stéphanie-Félicité du Crest de),drame ,x,5,prose,
125,Jeanne d'Angleterre,La Place (Pierre-Antoine de),tragédie,,5,vers,
126,"Jeanne Ière, reine de Naples",La Harpe (Jean-François de),tragédie,,5,vers,
127,Jodelet ou le Maître valet,Scarron (Paul),comédie,,5,vers,
128,Julie ou le Bon père,Denon (Dominique-Vivant),comédie,,3,prose,
129,Julie ou le Triomphe de l'amitié,Marin (François-Louis-Claude),comédie,,3,prose,
130,Julie ou l'Heureuse épreuve,Saint-Foix (Germain-François Poullain de),comédie,,1,prose,
131,La Belle-mère ou les Dangers d'un second mariage,Vigée (Louis-Jean-Baptiste-Étienne),comédie,,5,vers,
132,La Bergère des Alpes,Desfontaines de La Vallée (Guillaume-François Fouques Deshayes de),comédie,,1,vers libre,
133,La Bienfaisance de Voltaire ou le triomphe de la philosophie,Willemain d'Abancourt (François-Jean),pièces dramatique,,1,vers,
134,La Cavalcade,Inconnu,divertissement,,,,x
135,La Colonnie,Saint-Foix (Germain-François Poullain de),comédie,x,3,prose,
136,La Comtesse de Chazelles,Montesson (Charlotte-Jeanne Béraud de),comédie,,5,vers,
137,La Comtesse d'Escarbagnas,Molière (Jean-Baptiste Poquelin dit) ,comédie,,1,prose,
138,La Comtesse d'Orgueil,Corneille (Thomas),comédie,,5,vers,
139,La Coquette corrigée,"La Noue (Jean-Baptiste Sauvé, dit de)",comédie,,5,vers,
140,La Coquette de village ou le lot supposé,Dufresny (Charles Rivère),comédie,,3,vers,
141,La Coquette et la fausse prude,Baron (Michel Boyron dit),comédie,,5,prose,
142,La Coupe enchantée,La Fontaine (Jean de); Chevillet (Charles),comédie,,1,prose,
143,La Créole,La Morlière (Chevalier de),comédie,,1,prose,
144,La Discipline militaire du Nord,Friedel (André-Chrétien); Moline (Pierre-Louis),drame ,,5,prose,
145,La Dispute,Marivaux (Pierre Carlet de Chamblain de),comédie,,1,prose,
146,La Double extravagance,Bret (Antoine),comédie,,3,vers,
147,La Famille extravagante,Le Grand (Marc-Antoine),comédie,,1,vers,
148,La Fausse Agnès ou le Poète campagnard,Destouches (Philippe Néricault dit),comédie,,3,prose,
149,La Fausse antipathie,La Chaussée (Pierre-Claude Nivelle de),comédie,x,3,vers,
150,La Fausse apparence ou le Jaloux malgré lui,Imbert (Barthélémy),comédie,,3,vers,
151,La Fausse coquette,Vigée (Louis-Jean-Baptiste-Étienne),comédie,,3,vers,
152,La Fausse inconstance,Beauharnais (Marie-Anne Françoise Mouchard dite Fanny de),comédie ,,5,prose,
153,La Feinte par amour,Dorat (Claude-Joseph),comédie,,3,vers,
154,La Femme juge et partie,Montfleury (Antoine Jacob),comédie,,5,vers,
155,La Fête de village,Desfontaines (François-Georges Fouques Deshayes dit),intermède,,,musique,x
156,La Fête de village ou les Bourgeois de qualité,Dancourt (Florent Carton dit) ,comédie,,3,prose,x
157,La Fête interrompue ou le Rival de lui-même,La Chaussée (Pierre-Claude Nivelle de),comédie,,1,vers libres,
158,La Fille Capitaine,Montfleury (Antoine Jacob),comédie,,5,vers,
159,La Fille d'Aristide,Graffigny (Mme de),comédie,,5,vers,
160,La Foire de Saint-Laurent,Le Grand (Marc-Antoine),comédie,,1,vers,
161,La Folie du jour,Boissy (Louis de),comédie,,1,vers libres,
162,La Folie et l'Amour,Yon,comédie,,1,vers libres,
163,La Force du naturelle,Destouches (Philippe Néricault dit),comédie,,5,vers,
164,La Gageure de Village,Seillans (Colomb de),comédie,,1,prose,
165,La Gageure imprévue,Sedaine (Michel-Jean),comédie,,1,prose,
166,La Gouvernante,La Chaussée (Pierre-Claude Nivelle de),comédie,,5,vers,
167,La Jeune épouse,Cubières-Palmezeaux (Michel),comédie,,3,vers,
168,La Jeune indienne,Chamfort (Sébastien-Roch-Nicolas de),comédie,,1,vers,
169,La liberté conquise ou le Despotisme renversé,Harny de Guerville,drame héroïque ,,5,prose,
170,La Magie de l'Amour,Autreau (Jacques),comédie pastorale ,,1,vers libres,
171,La Maison de campagne,Dancourt (Florent Carton dit),comédie,,1,prose,
172,La Maison de Molière ou la Journée de Tartuffe,Mercier (Louis-Sebastien),comédie,,4,prose,
173,La Manie des arts ou la Matinée à la mode,Rochon de Chabannes (Marc-Antoine-Jacques),comédie,,1,prose,
174,La Matinée d'une jolie femme,Vigée (Louis-Jean-Baptiste-Étienne),comédie,,1,prose,
175,La Mère coquette ou les amants brouillés,Quinault (Philippe),comédie,,5,vers,
176,La Mère jalouse,Barthe (Nicolas-Thomas),comédie,,3,vers,
177,La Métamorphose amoureuse,Le Grand (Marc-Antoine),comédie,,1,prose,
178,La Métempsychose,Yon,comédie,x,3,vers libres,
179,La Métromanie ou le Poète,Piron (Alexis),comédie,,5,vers,
180,La mort d'Abel ou le Premier meurtre,Legouvé (Gabriel-Jean-Baptiste),tragédie,,3,vers,
181,La Mort de César,Voltaire (François-Marie Arouet dit ),tragédie,,3,vers,
182,La Mort de Molière,Cubières-Palmezeaux (Michel),comédie,,3,vers,
183,La Mort de Pompée,Corneille (Pierre),tragédie,,5,vers,
184,La Mort de Socrate,Sauvigny (Edme-Louis Billardon de),tragédie,,5,vers,
185,La Nouveauté,Le Grand (Marc-Antoine),comédie,,1,prose,
186,La Parisienne,Dancourt (Florent Carton dit),comédie,,1,prose,
187,La Partie de chasse de Henri IV,Collé (Charles),comédie,,3,prose,
188,La Péruvienne,Boissy (Louis de),comédie,,5,vers libres,
189,La Physicienne,"La Montagne (Pierre Latour, baron de)",comédie,,1,vers,
190,La Princesse d'Elide,Molière (Jean-Baptiste Poquelin dit) ,comédie-ballet,,5,prose,x
191,La Pupille,Fagan (Christophe-Barthélémy Fagan de Lugny dit),comédie,,1,prose,
192,La Réconciliation normande,Dufresny (Charles Rivère),comédie,,5,vers,
193,La Réduction de Paris,Desfontaines de La Vallée (Guillaume-François Fouques Deshayes de),pièce héroïque,,3,prose,
194,La Ressemblance,Forgeot (Nicolas-Julien),comédie,,3,vers,
195,La Rivale suivante,Rousseau (Pierre-Joseph),comédie,x,1,vers,
196,La Rupture ou le Malentendu,Delhorme (Mmes),comédie,,1,vers,
197,La Ruse inutile,Rousseau (Pierre-Joseph),comédie,,1,vers libres,
198,La Seconde surprise de l'amour,Marivaux (Pierre Carlet de Chamblain de),comédie,,3,prose,
199,La Sérénade,Regnard (Jean-François),comédie,,1,prose,
200,La Soirée d'une vielle femme,Lourdet de Santerre (Jean-Baptiste),comédie,,2,prose,
201,La Surprise de l'amour,Marivaux (Pierre Carlet de Chamblain de),comédie,,1,prose,
202,La Tarentule,Martel,comédie,,1,prose,
203,La Valet maître,Moissy (Alexandre-Guillaume Mouslier de),comédie,,3,vers,
204,La Veuve,Collé (Charles),comédie,,1,prose,
205,La Veuve du Malabar ou l'Empire des coutumes,Lemierre (Antoine-Marin) ,tragédie,,5,vers,
206,La Vivacité à l'épreuve,Vigée (Louis-Jean-Baptiste-Étienne),comédie,,3,vers,
207,L'Algérien ou les Muses comédiennes,Cahusac (Louis de),comédie-ballet,x,3,vers libres,x
208,L'Amant Bourru,Monvel (Jacques-Marie Boutet de Monvel dit) ,comédie,,3,vers libres,
209,L'Amant déguisé,La Morlière (Chevalier de),comédie,,1,prose,
210,L'Amateur,Barthe (Nicolas-Thomas),comédie,,1,vers,
211,L'Ambitieux et l'indiscrète,Destouches (Philippe Néricault dit),tragi-comédie,x,5,vers,
212,L'Ami des lois ,Laya (Jean-Louis),comédie,,5,vers,
213,L'Amour à Tempé,Chaumont (Mme),pastorale ,,2,prose,x
214,L'Amour diable,Le Grand (Marc-Antoine),comédie,,1,vers,
215,L'amour et les Fées,Bernis (Cardinal François-Joachim de),comédie,,1,vers libres,
216,L'Amour exilé des cieux,"Dufresnoy (Adélaïde Gilette Billet, dame)",comédie,,1,vers,x
217,L'Amour français,Rochon de Chabannes (Marc-Antoine-Jacques),comédie,,1,vers,
218,L'Amour médecin ou Les Médecins,Molière (Jean-Baptiste Poquelin dit) ,comédie-ballet,,3,prose,
219,L'Amour usé ou le Vindicatif généreux,Destouches (Philippe Néricault dit),comédie,,5,prose,
220,L'Andrienne,Baron (Michel Boyron dit),comédie,,5,vers,
221,L'Anglais à Bordeaux,Favart (Charles-Simon),comédie,,1,vers libres,
222,L'Angloman(i)e ou l'Orpheline léguée,Saurin (Bernard-Joseph),comédie,,1,vers libres,
223,Lanval et Viviane,Murville (Pierre-Nicolas André de),comédie-féérie héroïque,,5,vers,
224,L'Apothéose de Beaurepaire,Lesur (Charles-Louis),pièce ,,1,vers,
225,L'Assemblée,Lebeau de Schosne (Augustin-Théodore-Vincent abbé),comédie ,,1,vers,
226,Laurette,Oisemont (Thomas d'),comédie,,3,vers libres,
227,Laurette,Dudoyer de Gastels (Gérard),comédie,,2,vers,
228,L'Avare,Molière (Jean-Baptiste Poquelin dit) ,comédie,,5,prose,
229,L'Avare amoureux,Aigueberre (Jean Dumas d'),comédie,,1,prose,
230,L'Avare cru bienfaisant,Desfaucherets (Jean-Louis Brousse),comédie,,5,vers,
231,L'Aveugle clairvoyant,Le Grand (Marc-Antoine),comédie,,1,vers,
232,L'Aveugle par crédulité,Fournelle (Jean-Nicolas),comédie,,1,prose,
233,L'Avocat Patelin,Brueys (David-Augustin de),comédie,,3,prose,
234,Le Babillard,Boissy (Louis de),comédie,,1,vers,
235,Le Barbier de Séville ou la Précaution inutile,Beaumarchais (Pierre-Augustin Caron de),comédie,,4,prose,
236,Le Baron d'Albikrac,Corneille (Thomas),comédie,,5,vers,
237,Le Baron de la Crasse,Poisson (Raymond),comédie,,1,vers,
238,Le Bienfait anonyme,Pilhes (Jean),comédie,,3,prose,
239,Le Bienfait rendu ou le Négociant,Dampierre de la Salle,comédie ,,5,vers,
240,Le Bon ami,Legrand,comédie,,1,prose,
241,Le Bon soldat,Dancourt (Florent Carton dit) ,comédie,,1,vers,
242,Le Bourgeois gentilhomme,Molière (Jean-Baptiste Poquelin dit) ,comédie-ballet,,5,prose,x
243,Le Bourru bienfaisant,Goldoni (Carlo),comédie,,3,prose,
244,Le Café ou l'Ecossaise,Voltaire (François-Marie Arouet dit ),comédie,,5,prose,
245,Le Caprice ou l'Épreuve dangereuse,Renout (Jean-Julien-Constantin),comédie,,3,prose,
246,Le Célibataire,Dorat (Claude-Joseph),comédie,,5,vers libres,
247,Le Centenaire de Molière,Artaud (Jean-Baptiste),comédie,,1,vers et prose,
248,Le Cercle ou la Soirée à la mode,Poinsinet (Antoine-Alexandre-Henri) ,comédie épisodique,,1,prose,
249,Le Charivari,Dancourt (Florent Carton dit) ,comédie,,1,prose,x
250,Le Chevalier à la mode,Dancourt (Florent Carton dit) ,comédie,,5,prose,
251,Le Chevalier français à Londres,Dorat (Claude-Joseph),comédie,,3,vers,
252,Le Chevalier français à Turin,Dorat (Claude-Joseph),comédie,,4,vers,
253,Le Chevalier sans peur et sans reproche ou les Amours de Bayard,Monvel (Jacques-Marie Boutet de Monvel dit) ,comédie héroïque,,3,prose,
254,Le Chirurgien de village,Simon-Chauvot,comédie,,1,prose,
255,Le Cid,Corneille (Pierre),tragi-comédie,,5,vers,
256,Le Cocher supposé,Hauteroche (Noël Lebreton de),comédie,,1,prose,
257,Le Complaisant,Pont-de-Vesle (Antoine de Fériol de),comédie,,5,prose,
258,Le Comte de Comminges ou les Amants malheureux,Arnaud (François-Thomas-Marie de Baculard d'),drame ,,3,vers,
259,Le Comte de Warwick,La Harpe (Jean-François de),tragédie,,5,vers,
260,Le Comte de Warwick,Cahusac (Louis de),tragédie,,5,vers,
261,Le Comte d'Essex,Corneille (Thomas),tragédie,,5,vers,
262,Le Concert ,Bret (Antoine),comédie,,1,prose,
263,Le Concert ridicule,Brueys (David-Augustin de); Palaprat (Jean de),comédie,,1,prose,
264,Le Conciliateur ou l'Homme aimable,Demoustier (Charles-Albert),comédie,,5,vers,
265,Le Consentement forcé,Merville (Michel Guyot de),comédie,,1,prose,
266,Le Conteur ou les deux postes,Picard (Louis-Benoît),comédie,,3,prose,
267,Le Couvent ou les Fruits du caractère et de l'éducation,Laujon (Pierre),comédie,,1,prose,
268,Le Curieux impertinent,Destouches (Philippe Néricault dit),comédie,,5,vers,
269,Le Dédit,Dufresny (Charles Rivère),comédie,,1,vers,
270,Le Déjeuner interrompu,Montanclos (Marie-Émilie Mayon de),comédie,,2,prose,
271,Le Dénouement imprévu,"Marivaux (Pierre Carlet de Chamblain de), Parfaict",comédie,,1,prose,
272,Le Dépit amoureux,Molière (Jean-Baptiste Poquelin dit) ,comédie,,5,vers,
273,Le Deuil,Hauteroche (Noël Lebreton de),comédie,,1,vers,
274,Le Dissipateur ou l'Honnête friponne,Destouches (Philippe Néricault dit),comédie,,5,vers,
275,Le Distrait,Regnard (Jean-François),comédie,,5,vers,
276,Le Double Veuvage,Dufresny (Charles Rivère),comédie,x,3,prose,
277,Le Droit du seigneur,Voltaire (François-Marie Arouet dit ),comédie,,3,vers,
278,Le Duc de Surrey,Boissy (Louis de),pièce héroïque ,,5,vers,
279,Le Fabricant de Londres,Denouillot de Falbaire (Charles-Georges),drame ,,5,prose,
280,Le Fat,Lattaignant (Gabriel-Charles de),comédie,,5,vers,
281,Le Fat puni,Pont-de-Vesle (Antoine de Fériol de),comédie,,1,prose,
282,Le Faux généreux,Bret (Antoine),comédie,,5,vers,
283,Le Faux insouciant,Maisonneuve (Louis-Jean-Baptiste Simonnet de),comédie,,5,vers,
284,Le Faux noble,Chabanon (Michel Paul Guy de),comédie,,5,vers,
285,Le Faux savant ou l'Amant précepteur ,Vaure (Jacques du) ,comédie,,5,prose,
286,Le Festin de Pierre,Corneille (Thomas),comédie,,5,vers,
287,Le Fils naturel ou les Epreuves de la vertu,Diderot (Denis),drame ,x,5,prose,
288,Le Financier,Saint-Foix (Germain-François Poullain de),comédie,,1,prose,
289,Le Flatteur,Lantier (Étienne François de),comédie,,5,vers libres,
290,Le Florentin,La Fontaine (Jean de),comédie,,1,vers,
291,Le Français à Londres,Boissy (Louis de),comédie,,1,prose,
292,Le Galant coureur ou l'Ouvrage d'un moment,Le Grand (Marc-Antoine),comédie,,1,prose,
293,Le Galant jardinier,Dancourt (Florent Carton dit) ,comédie,,1,prose,x
294,Le Gâteau des rois ou Monsieur Petau,Imbert (Barthélémy),comédie,x,1,vers,
295,Le Glorieux,Destouches (Philippe Néricault dit),comédie,,5,vers,
296,Le Grondeur,Brueys (David-Augustin de); Palaprat (Jean de),comédie,x,3,prose et vers libres,
297,Le héros français: ou l'Héroïsme français ou le Siège de Saint-Jean de Laone,Ussieux (Louis d'),drame héroïque ,,4,prose,
298,Le Jaloux,Bret (Antoine),comédie,,5,vers,
299,Le Jaloux ,Rochon de Chabannes (Marc-Antoine-Jacques),comédie,,5,vers libres,
300,Le Jaloux désabusé,Campistron (Jean-Galbert de) ,comédie,,5,vers,
301,Le Jaloux sans amour,Imbert (Barthélémy),comédie,,5,vers libres,
302,Le Jeune homme,Bastide (Jean-François de),comédie,,5,vers,
303,Le Joueur,Regnard (Jean-François),comédie,,5,vers,
304,Le Journaliste des ombres ou Momus au Champ-Élysées,Aude (Joseph),pièce héroïque nationale ,,1,vers,
305,Le Légataire universel,Regnard (Jean-François),comédie,,5,vers,
306,Le Legs,Marivaux (Pierre Carlet de Chamblain de),comédie,,1,prose,
307,Le Magnifique,La Motte (Antoine Houdar de) ,comédie,,2,prose,
308,Le Maire de village ou la Force de la loi,Laus de Boissy,comédie,,1,prose,
309,Le Malade imaginaire,Molière (Jean-Baptiste Poquelin dit) ,comédie-ballet,,3,vers,
310,Le Malheureux imaginaire,Dorat (Claude-Joseph),comédie,,5,vers,
311,Le Marchand de Smyrne,Chamfort (Sébastien-Roch-Nicolas de),pièce,,1,prose,
312,Le Mari directeur ou le Déménagement des religieuses,Flins des Oliviers,comédie,,1,vers,
313,Le Mari retrouvé,Dancourt (Florent Carton dit) ,comédie,,1,prose,x
314,Le Mari sans femme,Montfleury (Antoine Jacob),comédie,,5,vers,
